nama_skpd,nama_urusan,nama_program,nilai_anggaran,nilai_spj
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program kaderisasi aparat Pemerintah Provinsi,786725000,476945800
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program pembinaan dan pengembangan aparatur,3884510583,1728208290
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian","Program penerapan prinsip good governance dalam penyelenggaraan urusan Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",8369975799,4035123671
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program penetapan dan evaluasi kinerja,44000000,34375000
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program peningkatan dan kesejahteraan pegawai,1241130802,572634950
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program peningkatan pencatatan aset daerah,105000000,81614850
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program peningkatan pengelolaan SDM SKPD,2494775000,355289560
BADAN KEPEGAWAIAN DAERAH,"Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Program peningkatan sarana dan prasarana aparatur,100000000,0
BADAN KESATUAN BANGSA DAN POLITIK,Kesatuan Bangsa dan Politik Dalam Negeri,Program pencegahan dan penanggulangan konflik,14850000000,6693029500
BADAN KESATUAN BANGSA DAN POLITIK,Kesatuan Bangsa dan Politik Dalam Negeri,Program pendidikan politik masyarakat,26975000000,10721937000
BADAN KESATUAN BANGSA DAN POLITIK,Kesatuan Bangsa dan Politik Dalam Negeri,Program penerapan prinsip good governance dalam penyelenggaraan urusan Kesatuan Bangsa Dan Politik Dalam Negeri,4384380000,1351465687
BADAN KESATUAN BANGSA DAN POLITIK,Kesatuan Bangsa dan Politik Dalam Negeri,Program pengembangan wawasan kebangsaan,13705000000,7428639000
"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Keluarga Berencana dan Keluarga Sejahtera,Penerapan prinsip kaidah good governance dalam penyelenggaraan urusan Keluarga Berencana,525099000,335807600
