nama_skpd,nama_urusan,nama_program,nilai_anggaran,nilai_spj
Dinas Pendidikan,Pendidikan,Pembuatan DED Rehabilitasi Total Gedung SDN Batu Ampar 12,274999890,0
Dinas Pendidikan,Pendidikan,Penyelenggaraan Pendidikan Anak Usia Dini,5637995273,0
Dinas Pendidikan,Pendidikan,Penyediaan Biaya Operasional TKN dan SLBN,5338311840,0
Dinas Pendidikan,Pendidikan,Pembinaan Penyelenggaraan Pendidikan Inklusi,649973155,0
Dinas Pendidikan,Pendidikan,Penyelenggaraan Ujian Nasional dan Ujian Sekolah,10689835251,0
Dinas Pendidikan,Pendidikan,Pembinaan dan Pengembangan Prestasi Peserta Didik,3499549113,0
Dinas Pendidikan,Pendidikan,Pembinaan Kompetensi Guru,995424376,0
Dinas Pendidikan,Pendidikan,Bimtek Penguatan Implementasi Kurikulum 2013 MGMP,998248500,0
Dinas Pendidikan,Pendidikan,Penyelenggaraan dan Partisipasi Lomba Pendidikan,498833500,0
Dinas Pendidikan,Pendidikan,Penyelenggaraan dan Partisipasi Olimpiade,499999952,0
Dinas Pendidikan,Pendidikan,Penyelenggaraan dan Partisipasi Event Pendidikan,2499641144,0
Dinas Pendidikan,Pendidikan,Seleksi dan Pemusatan Latihan Olimpiade,3499998553,0
Dinas Pendidikan,Pendidikan,"Pengadaan Buku Kurikulum 2013 Peserta Didik dan Guru SMA, SMK Negeri dan Swasta",12428877500,0
Dinas Pendidikan,Pendidikan,Lomba Debat Bahasa Indonesia dan Bahasa Asing Siswa SMK,1599999488,0
Dinas Pendidikan,Pendidikan,Pengadaan raport siswa SD,1500000000,0
Dinas Pendidikan,Pendidikan,Pengadaan raport siswa SMP,600000000,0
Dinas Pendidikan,Pendidikan,Pelaksanaan akreditasi sekolah/madrasah secara online,2243780470,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Rawabadak Selatan 11/12,11199001596,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Cakung Barat 14,6193443718,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Karet Tengsing 13,6953969391,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Balimester 04,5531670541,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Tebet Barat 08,3924168360,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Kalibata 07,4061723247,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Jagakarsa 06,4142176830,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Cilangkap 01,5821343965,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Cijantung 05,12011391271,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Pondok Bambu 14,9030134891,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Pasar Baru 07/09/10,753999801,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Kalisari 01,749907081,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Duri Kepa 01/10,15005627294,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Rawajati 06,9632947239,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Lagoa 07/08,8591805454,0
Dinas Pendidikan,Pendidikan,Penyelesaian Rehabilitasi Total Gedung SDN Kramat Jati 27,12030733020,0
Dinas Pendidikan,Pendidikan,Penyelesaian rehabilitasi total gedung SDN Baru 02,10139495657,0
Dinas Pendidikan,Pendidikan,Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 04/05,15441894040,0
Dinas Pendidikan,Pendidikan,Penyelesaian rehabilitasi total gedung SDN Tegal Alur 06/21,6456083465,0
Dinas Pendidikan,Pendidikan,Penyelesaian rehabilitasi total gedung SDN Tegal Alur 07,8473287376,0
Dinas Pendidikan,Pendidikan,Penyelesaian rehabilitasi total gedung SDN Sukabumi Utara 07,9463110433,0
